Unique ID,Abbreviation,Parent Agency,Bureau,Date,Fedscope ID,Capacity Score,Capacity Score SD,Capacity Upperbound,Capacity Lowerbound
DD25-200109,DLSA,Department of Defense,Defense Legal Services Agency,2001,DD25,0.344927462,0.731842048,-1.08640261,1.771527145
DD27-200109,MDA,Department of Defense,Missile Defense Agency,2001,DD27,0.636083818,0.725004959,-0.789883142,2.059144455
DD34-200109,DCA,Department of Defense,Defense Commissary Agency,2001,DD34,-1.303087374,0.731660921,-2.731295242,0.136067025
DD35-200109,DFAS,Department of Defense,Defense Finance and Accounting Service,2001,DD35,-0.960659082,0.71700055,-2.372174429,0.448878365
DD58-200109,DPOW,Department of Defense,Defense POW/MIA Accounting Agency,2001,DD58,0.177549484,0.731131753,-1.257085419,1.619767556
DD60-200109,DHA,Department of Defense,Defense Health Agency,2001,DD60,0.04126065,0.728629268,-1.404046495,1.47019964
DD61-200109,DTRA,Department of Defense,Defense Threat Reduction Agency,2001,DD61,-0.103361471,0.72232748,-1.518249277,1.315939299
DD63-200109,DCMA,Department of Defense,Defense Contract Management Agency,2001,DD63,-0.880533007,0.717609487,-2.261763246,0.508526088
DJ-DEP-200109,DOJ,Department of Justice,,2001,DJ-DEP,-0.574420766,0.729953194,-2.007030081,0.846786198
DJ02-200109,FBI,Department of Justice,Federal Bureau of Investigation,2001,DJ02,-1.460976063,0.726574761,-2.89872285,-0.043805695
DJ03-200109,BOP,Department of Justice,Bureau of Prisons/Federal Prison System,2001,DJ03,-0.956765659,0.719032933,-2.373375276,0.442027228
DJ04-200109,INS,Department of Justice,Immigration and Naturalization Service,2001,DJ04,-1.125251902,0.729523039,-2.553366107,0.304463551
DJ06-200109,DEA,Department of Justice,Drug Enforcement Administration,2001,DJ06,-0.773413093,0.72425506,-2.206280983,0.641625674
DJ07-200109,OJP,Department of Justice,Office of Justice Programs,2001,DJ07,0.025658024,0.72294013,-1.402168861,1.447999719
DJ08-200109,USMS,Department of Justice,United States Marshals Service,2001,DJ08,-1.282756459,0.726850182,-2.707955059,0.158264721
DJ09-200109,EOUSA,Department of Justice,Executive Office for United States Attorneys,2001,DJ09,0.64412974,0.723409967,-0.773448123,2.050149645
