Unique ID,Abbreviation,Parent Agency,Bureau,Date,Fedscope ID,Capacity Score,Capacity Score SD,Capacity Upperbound,Capacity Lowerbound
AH03-200909,IMLS,National Foundation on the Arts and the Humanities,Institute of Museum and Library Services,2009,AH03,-0.765505805,0.731017296,-2.191340046,0.668973495
AM00-200909,USAID,Department of State,United States Agency for International Development,2009,AM00,0.422673847,0.719989166,-0.98575062,1.836410848
AN00-200909,USADF,United States African Development Foundation,,2009,AN00,0.480147997,0.725058676,-0.935071411,1.883441946
AR-DEP-200909,ARMY,Department of Defense,Army,2009,AR-DEP,-0.523520613,0.722655891,-1.935420284,0.880992325
ARCE-200909,ARCE,Department of Defense,Army Corps of Engineers,2009,ARCE,0.099589548,0.728293677,-1.331126783,1.530474408
AU00-200909,FLRA,Federal Labor Relations Authority,,2009,AU00,0.937611061,0.738948289,-0.519332151,2.404397822
BD00-200909,MSPB,Merit Systems Protection Board,,2009,BD00,0.987775392,0.722121501,-0.416764703,2.407890399
BF00-200909,DNFSB,Defense Nuclear Facilities Safety Board,,2009,BF00,1.479866146,0.722341355,0.058062667,2.901660607
BG00-200909,PBGC,Department of Labor,Pension Benefit Guaranty Corporation,2009,BG00,0.435132788,0.728194137,-0.999323521,1.881465208
BO00-200909,OMB,Executive Office of the President,Office of Management and Budget,2009,BO00,0.743391866,0.73751073,-0.70321242,2.186982682
CC00-200909,CCR,Commission on Civil Rights,,2009,CC00,0.473390202,0.723873654,-0.959756111,1.876843743
CE00-200909,CEA,Executive Office of the President,Council of Economic Advisors,2009,CE00,-0.114997574,0.719209943,-1.497488835,1.280483031
CM-DEP-200909,DOC,Department of Commerce,,2009,CM-DEP,0.14360676,0.727427687,-1.293154985,1.56217084
CM51-200909,DOCSEC,Department of Commerce,Office of the Secretary,2009,CM51,0.14021017,0.725900476,-1.272488981,1.57775657
CM52-200909,EDA,Department of Commerce,Economic Development Administration,2009,CM52,0.18805489,0.719471334,-1.224337629,1.601674222
CM53-200909,BEA,Department of Commerce,Bureau of Economic Analysis,2009,CM53,0.659097931,0.730171099,-0.780820216,2.087892203
CM54-200909,NOAA,Department of Commerce,National Oceanic and Atmospheric Administration,2009,CM54,0.485341253,0.721562824,-0.938119328,1.903992951
CM55-200909,ITA,Department of Commerce,International Trade Administration,2009,CM55,0.319515585,0.732185864,-1.125391553,1.76805275
CM56-200909,USPTO,Department of Commerce,United States Patent and Trademark Office,2009,CM56,-0.2179148,0.734561703,-1.652732271,1.203906508
CM57-200909,NIST,Department of Commerce,National Institute of Standards and Technology,2009,CM57,0.946692453,0.73449741,-0.474946469,2.388822926
CM59-200909,MBDA,Department of Commerce,Minority Business Development Agency,2009,CM59,-0.323878137,0.741158664,-1.804831866,1.114464958
CM61-200909,NTIA,Department of Commerce,National Telecommunications and Information Administration ,2009,CM61,0.308592568,0.725443337,-1.121091406,1.728502302
CM62-200909,NTIS,Department of Commerce,National Technical Information Service,2009,CM62,-0.685382495,0.721695915,-2.083708479,0.734129102
CM63-200909,CEN,Department of Commerce,U.S. Census Bureau,2009,CM63,-0.25058748,0.72690527,-1.696466481,1.165351353
CM65-200909,ESA,Department of Commerce,Economic and Statistics Administration,2009,CM65,0.860082262,0.736863922,-0.579055317,2.309530297
CM67-200909,BIS,Department of Commerce,Bureau of Industry and Security,2009,CM67,-0.032808851,0.729508183,-1.446870991,1.400391097
CT00-200909,CFTC,Commodity Futures Trading Commission,,2009,CT00,1.397224093,0.723302506,-0.001933916,2.817995555
CU00-200909,NCUA,National Credit Union Administration,,2009,CU00,0.601279579,0.725993407,-0.815810137,2.030006888
DD-DEP-200909,DOD,Department of Defense,,2009,DD-DEP,-0.346320313,0.729722463,-1.764273472,1.084219624
DD01-200909,DODSEC,Department of Defense,Office of the Secretary,2009,DD01,1.263424779,0.732782077,-0.173971105,2.704942113
DD04-200909,DISA,Department of Defense,Defense Information Systems Agency,2009,DD04,-0.089282241,0.726139154,-1.514217377,1.330620259
DD06-200909,DSCA,Department of Defense,Defense Security Cooperation Agency,2009,DD06,-0.091954275,0.736763751,-1.538438504,1.336573229
DD07-200909,DLA,Department of Defense,Defense Logistics Agency,2009,DD07,-0.763122834,0.721813414,-2.188790653,0.65167974
DD10-200909,DCAA,Department of Defense,Defense Contract Audit Agency,2009,DD10,0.715422909,0.731731647,-0.70920931,2.132811348
DD12-200909,DSS,Department of Defense,Defense Counterintelligence and Security Agency,2009,DD12,0.180000073,0.731124258,-1.257573923,1.616911691
DD13-200909,DARPA,Department of Defense,Defense Advanced Research Projects Agency,2009,DD13,1.345602172,0.720277125,-0.06762905,2.767795861
DD16-200909,DODEA,Department of Defense,DOD Education Activity,2009,DD16,-0.60677085,0.737344395,-2.050580444,0.823521541
DD21-200909,WHS,Department of Defense,Washington Headquarters Services,2009,DD21,-0.128009854,0.718754444,-1.536362668,1.285623985
DD25-200909,DLSA,Department of Defense,Defense Legal Services Agency,2009,DD25,1.227964621,0.726005258,-0.17454564,2.642068682
DD27-200909,MDA,Department of Defense,Missile Defense Agency,2009,DD27,0.921686277,0.733711557,-0.521856029,2.364075325
DD29-200909,DTSA,Department of Defense,Defense Technology Security Administration,2009,DD29,1.323395182,0.718233152,-0.081704975,2.727219388
DD34-200909,DCA,Department of Defense,Defense Commissary Agency,2009,DD34,-1.013109215,0.725544377,-2.408726921,0.405194303
DD35-200909,DFAS,Department of Defense,Defense Finance and Accounting Service,2009,DD35,-0.510056877,0.723457707,-1.925412901,0.890530161
DD58-200909,DPOW,Department of Defense,Defense POW/MIA Accounting Agency,2009,DD58,0.264957728,0.721342374,-1.134333767,1.679120276
DD60-200909,DHA,Department of Defense,Defense Health Agency,2009,DD60,0.486107685,0.730738818,-0.954498276,1.92701235
DD61-200909,DTRA,Department of Defense,Defense Threat Reduction Agency,2009,DD61,-0.037254543,0.731435072,-1.477269214,1.396822285
DD63-200909,DCMA,Department of Defense,Defense Contract Management Agency,2009,DD63,-0.438699928,0.731641932,-1.868179956,0.989393213
DD65-200909,PFPA,Department of Defense,Pentagon Force Protection Agency,2009,DD65,-1.30203795,0.72903942,-2.721637059,0.133026698
DD68-200909,TRMC,Department of Defense,DOD Test Resource Management Center,2009,DD68,1.605378917,0.745848517,0.1320452,3.059315491
DD80-200909,DMA,Department of Defense,Defense Media Activity,2009,DD80,-0.897747635,0.726955226,-2.315081736,0.51602345
DJ-DEP-200909,DOJ,Department of Justice,,2009,DJ-DEP,-0.347111278,0.724170738,-1.759805226,1.062783879
DJ02-200909,FBI,Department of Justice,Federal Bureau of Investigation,2009,DJ02,-0.992246487,0.717762057,-2.429713731,0.411714179
DJ03-200909,BOP,Department of Justice,Bureau of Prisons/Federal Prison System,2009,DJ03,-0.833255626,0.728624284,-2.25014827,0.583912767
DJ06-200909,DEA,Department of Justice,Drug Enforcement Administration,2009,DJ06,-0.603761125,0.734839008,-2.033090259,0.836985045
DJ07-200909,OJP,Department of Justice,Office of Justice Programs,2009,DJ07,0.445216339,0.734761735,-0.988947034,1.890625355
DJ08-200909,USMS,Department of Justice,United States Marshals Service,2009,DJ08,-1.112162909,0.724327759,-2.534799596,0.318959716
DJ09-200909,EOUSA,Department of Justice,Executive Office for United States Attorneys,2009,DJ09,0.675009081,0.727683394,-0.725379767,2.092908965
DJ11-200909,EOUST,Department of Justice,Executive Office for United States Trustees,2009,DJ11,-0.137006562,0.727335647,-1.568599156,1.293609652
DJ12-200909,EOIR,Department of Justice,Executive Office for Immigration Review,2009,DJ12,0.79516195,0.731977675,-0.650999357,2.229945644
DJ14-200909,JCRS,Department of Justice,Community Relations Service,2009,DJ14,0.533266459,0.731553629,-0.886521365,1.976760395
DJ15-200909,ATF,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",2009,DJ15,-0.784956911,0.723642749,-2.208595874,0.639755582
DL-DEP-200909,DOL,Department of Labor,,2009,DL-DEP,-0.199583318,0.728369585,-1.622447451,1.225482778
DLAA-200909,DOLSEC,Department of Labor,Office of the Secretary,2009,DLAA,0.25317801,0.725254692,-1.172926631,1.689564251
DLAM-200909,DOLMANG,Department of Labor,Office of the Assistant Secretary for Administration and Management,2009,DLAM,-0.073479476,0.733512208,-1.513051889,1.36173535
DLBL-200909,BILA,Department of Labor,Bureau of International Labor Affairs,2009,DLBL,0.955393418,0.730963485,-0.483366726,2.383963104
DLES-200909,DLES,Department of Labor,Employment Standards Administration,2009,DLES,-0.287349367,0.737146605,-1.732952913,1.166810984
DLET-200909,ETA,Department of Labor,Employment and Training Administration,2009,DLET,0.209036071,0.735860156,-1.245418014,1.642821248
DLLS-200909,BLS,Department of Labor,Bureau of Labor Statistics,2009,DLLS,0.535435807,0.738285746,-0.929532825,1.960947959
DLMS-200909,MSHA,Department of Labor,Mine Safety and Health Administration,2009,DLMS,-0.947256437,0.722999966,-2.362857826,0.469069967
DLPW-200909,EBSA,Department of Labor,Employee Benefits Security Administration,2009,DLPW,0.209635351,0.724989847,-1.20871503,1.634884559
DLSH-200909,OSHA,Department of Labor,Occupational Safety and Health Administration,2009,DLSH,0.216975328,0.720130913,-1.195918361,1.63335623
DLVE-200909,VETS,Department of Labor,Veterans' Employment and Training Service,2009,DLVE,-0.77487779,0.731317853,-2.201046143,0.645321971
DLWB-200909,WB,Department of Labor,Women's Bureau,2009,DLWB,0.186766124,0.722413768,-1.233718782,1.605640196
DN00-200909,DOE,Department of Energy,,2009,DN00,0.580477,0.725789329,-0.850284316,2.010741565
EB00-200909,EXIM,Export-Import Bank of the United States,,2009,EB00,0.785426897,0.73667163,-0.658315268,2.224281657
ED-DEP-200909,DOED,Department of Education,,2009,ED-DEP,0.574336002,0.734270132,-0.859849637,2.019750676
EDEB-200909,EDSEC,Department of Education,Office of the Secretary,2009,EDEB,0.300757573,0.730848672,-1.138945004,1.739264344
EDEC-200909,EDCIV,Department of Education,Office of Civil Rights,2009,EDEC,0.828783967,0.730295125,-0.621479504,2.2435427
EDEH-200909,PSER,Department of Education,Office of Special Education and Rehabilitative Services,2009,EDEH,0.701959895,0.735074074,-0.733177731,2.139548917
EDEL-200909,EDCFO,Department of Education,Office of the Chief Financial Officer,2009,EDEL,0.72079694,0.729324265,-0.720954448,2.150245292
EDEM-200909,EDMANG,Department of Education,Office of Management,2009,EDEM,-0.153947562,0.725390824,-1.57281371,1.274713214
EDEN-200909,OFSA,Department of Education,Federal Student Aid,2009,EDEN,0.185454284,0.737243906,-1.276627519,1.617579169
EDEP-200909,OPE,Department of Education,Office of Postsecondary Education,2009,EDEP,0.351110888,0.728935763,-1.063618582,1.787943166
EDEQ-200909,OSDS,Department of Education,Office of Safe and Drug-Free Schools,2009,EDEQ,0.675364372,0.731962988,-0.773052878,2.105505711
EDER-200909,EDER,Department of Education,Institute of Education Sciences,2009,EDER,1.339390575,0.73436184,-0.109718969,2.766565416
EDES-200909,OESA,Department of Education,Office of Elementary and Secondary Education,2009,EDES,0.834715126,0.727539094,-0.594719384,2.262700612
EDET-200909,OELA,Department of Education,Office of English Language Acquisition,2009,EDET,0.845043255,0.728291314,-0.594379813,2.272149124
EDEU-200909,OII,Department of Education,Office of Innovation and Improvement,2009,EDEU,0.676413521,0.726624578,-0.753723602,2.102612285
EDEV-200909,EDEV,Department of Education,"Office of Career, Technical, and Adult Education",2009,EDEV,0.911825806,0.726243022,-0.501582413,2.331155848
EE00-200909,EEOC,Equal Employment Opportunity Commission,,2009,EE00,0.130144049,0.728751033,-1.273982075,1.561695893
EP00-200909,EPA,Environmental Protection Agency,,2009,EP00,0.812602288,0.732807577,-0.643418483,2.224857219
EW00-200909,TDA,Trade and Development Agency,,2009,EW00,0.681179488,0.740368173,-0.762503339,2.131251576
FC00-200909,FCC,Federal Communications Commission,,2009,FC00,0.859488813,0.729730704,-0.574889889,2.279044257
FD00-200909,FDIC,Federal Deposit Insurance Corporation,,2009,FD00,0.261978519,0.725290609,-1.145249857,1.69448188
FJ00-200909,CSHIB,Chemical Safety and Hazard Investigation Board,,2009,FJ00,0.32329664,0.727401876,-1.112489719,1.754822624
FL00-200909,FCA,Farm Credit Administration,,2009,FL00,0.440145587,0.730558676,-1.006727198,1.878952702
FM00-200909,FMCS,Federal Mediation and Conciliation Service,,2009,FM00,-0.739028074,0.732499399,-2.166938637,0.692714997
FT00-200909,FTC,Federal Trade Commission,,2009,FT00,1.237202998,0.731920534,-0.201461778,2.678649066
FW00-200909,OSC,Office of Special Counsel,,2009,FW00,0.64972293,0.718344234,-0.759126893,2.061294798
GB00-200909,OPIC,International Development Finance Corporation,Overseas Private Investment Corporation,2009,GB00,0.554045825,0.72894122,-0.891758437,1.973575295
GG00-200909,OGE,Office of Government Ethics,,2009,GG00,0.62197577,0.730362354,-0.815672616,2.041398154
GJ00-200909,Presidio,Presidio Trust,,2009,GJ00,-0.086313633,0.742687871,-1.52791309,1.368569571
GQ00-200909,EAC,Election Assistance Commission,,2009,GQ00,-0.006730635,0.738320869,-1.461239689,1.43170153
GS-DEP-200909,GSA,General Services Administration,,2009,GS-DEP,-0.323757548,0.722938199,-1.750590086,1.100478072
GS30-200909,OAP,General Services Administration,Office of Acquisition Policy,2009,GS30,-0.401302798,0.731296213,-1.833225892,1.03863801
HE-DEP-200909,HHS,Department of Health and Human Services,,2009,HE-DEP,0.519953086,0.73820433,-0.917568288,1.973155419
HE12-200909,ACL,Department of Health and Human Services,Administration for Community Living,2009,HE12,0.839055549,0.726822292,-0.596034253,2.244794795
HE31-200909,ASH,Department of Health and Human Services,Office of the Assistant Secretary for Health,2009,HE31,1.380506907,0.725558196,-0.039950669,2.819325807
HE32-200909,SAMHSA,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,2009,HE32,0.875030756,0.727871373,-0.556262987,2.310600632
HE33-200909,AHRQ,Department of Health and Human Services,Agency for Healthcare Research and Quality,2009,HE33,1.105185205,0.733759987,-0.325716003,2.557285209
HE34-200909,HRSA,Department of Health and Human Services,Health Resources and Services Administration,2009,HE34,0.291334075,0.735025764,-1.148507708,1.726885142
HE35-200909,ATSDR,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,2009,HE35,1.00183796,0.731646491,-0.431377523,2.444276875
HE36-200909,FDA,Department of Health and Human Services,Food and Drug Administration,2009,HE36,0.781783157,0.734340483,-0.640781831,2.206441039
HE37-200909,IHS,Department of Health and Human Services,Indian Health Service,2009,HE37,-0.755237409,0.734272219,-2.172412527,0.703167135
HE38-200909,NIH,Department of Health and Human Services,National Institutes of Health,2009,HE38,0.909999883,0.734092092,-0.543951132,2.342692938
HE39-200909,CDC,Department of Health and Human Services,Centers for Disease Control and Prevention,2009,HE39,0.71445311,0.73162771,-0.717541158,2.133743733
HE70-200909,CMS,Department of Health and Human Services,Centers for Medicare and Medicaid Services,2009,HE70,0.434048815,0.728518521,-1.009836961,1.864815238
HE90-200909,ACF,Department of Health and Human Services,Administration for Children and Families,2009,HE90,0.38299297,0.720526515,-1.033717929,1.800612775
HP00-200909,ACHP,Advisory Council on Historic Preservation,,2009,HP00,-0.345954246,0.720624047,-1.756057072,1.070231777
HS-DEP-200909,DHS,Department of Homeland Security,,2009,HS-DEP,-0.829883113,0.734214289,-2.26145508,0.601475997
HSAB-200909,CIS,Department of Homeland Security,United States Citizenship and Immigration Services,2009,HSAB,-0.691293069,0.72830508,-2.109640813,0.713188299
HSAC-200909,USCG,Department of Homeland Security,United States Coast Guard,2009,HSAC,-0.563289025,0.724330174,-1.981033879,0.875669634
HSAD-200909,USSS,Department of Homeland Security,United States Secret Service,2009,HSAD,-0.996360727,0.735010662,-2.445160505,0.457338132
HSBB-200909,ICE,Department of Homeland Security,United States Immigration and Customs Enforcement,2009,HSBB,-0.718248072,0.733779695,-2.159056541,0.698961985
HSBC-200909,TSA,Department of Homeland Security,Transportation Security Administration,2009,HSBC,-1.416883244,0.726963912,-2.847192807,0.027348981
HSBD-200909,CBP,Department of Homeland Security,United States Customs and Border Protection,2009,HSBD,-0.869787306,0.734661108,-2.297781465,0.570762492
HSBE-200909,FLETC,Department of Homeland Security,Federal Law Enforcement Training Center,2009,HSBE,-0.80373749,0.728088221,-2.236449659,0.619652087
HSCB-200909,FEMA,Department of Homeland Security,Federal Emergency Management Agency,2009,HSCB,-1.054185912,0.734622261,-2.489657008,0.363196576
HSDA-200909,DNDO,Department of Homeland Security,Domestic Nuclear Detection Office,2009,HSDA,0.326324331,0.73580436,-1.109268481,1.781538091
HU-DEP-200909,HUD,Department of Housing and Urban Development,,2009,HU-DEP,-0.312973813,0.735291851,-1.745642968,1.139333699
HUAA-200909,HUDSEC,Department of Housing and Urban Development,Office of the Secretary,2009,HUAA,-1.347303798,0.72738175,-2.784387152,0.077475486
HUBB-200909,HUDMANG,Department of Housing and Urban Development,Office of Administration,2009,HUBB,-0.931824733,0.721441276,-2.33995649,0.489256843
HUCC-200909,HUDGC,Department of Housing and Urban Development,Office of the General Counsel,2009,HUCC,0.447305517,0.730718439,-0.968533181,1.875388548
HUDD-200909,OCPD,Department of Housing and Urban Development,Assistant Secretary for Community Planning and Development,2009,HUDD,-0.84592735,0.735616273,-2.288262617,0.59765222
HUEE-200909,OFHEO,Department of Housing and Urban Development,Assistant Secretary for Fair Housing and Equal Opportunity,2009,HUEE,0.118310935,0.740409707,-1.344802258,1.573838852
HUGG-200909,HUDIG,Department of Housing and Urban Development,Office of the Inspector General,2009,HUGG,0.300317356,0.72575413,-1.136608796,1.729239173
HUKK-200909,OFPM,Department of Housing and Urban Development,Office of Field Policy and Management,2009,HUKK,-0.109871517,0.726862059,-1.537419253,1.319821605
HULL-200909,OHHLHC,Department of Housing and Urban Development,Office of Healthy Homes and Lead Hazard Control,2009,HULL,-0.357659916,0.720440484,-1.76072185,1.046392529
HUMM-200909,HOUS,Department of Housing and Urban Development,Assistant Secretary for Housing,2009,HUMM,-0.636293794,0.733577892,-2.081320566,0.776463987
HUPP-200909,OPIH,Department of Housing and Urban Development,Office of Public and Indian Housing,2009,HUPP,-0.315311694,0.722421765,-1.741608464,1.098239344
HURR-200909,HUDPOL,Department of Housing and Urban Development,Policy Development and Research,2009,HURR,0.414509096,0.725695742,-0.995402325,1.834769332
HUTT-200909,GNMA,Department of Housing and Urban Development,Government National Mortgage Association,2009,HUTT,-1.053869748,0.747120191,-2.50511782,0.403118012
IB00-200909,BBG,Agency for Global Media,,2009,IB00,-0.416747617,0.719867491,-1.833304514,0.998325341
IF00-200909,IAF,Inter-American Foundation,,2009,IF00,0.545113008,0.728070863,-0.881221649,1.982953878
IN-DEP-200909,INT,Department of the Interior,,2009,IN-DEP,-0.266257157,0.736561882,-1.70109745,1.188551558
IN01-200909,DOISEC,Department of the Interior,Office of the Secretary,2009,IN01,-0.148781124,0.728263245,-1.577911291,1.268039036
IN05-200909,BLM,Department of the Interior,Bureau of Land Management,2009,IN05,-0.725795451,0.731579726,-2.150473869,0.693502455
IN06-200909,BIA,Department of the Interior,Bureau of Indian Affairs,2009,IN06,-1.229699416,0.737668271,-2.682649289,0.210956418
IN07-200909,BOR,Department of the Interior,Bureau of Reclamation,2009,IN07,-0.186634793,0.739290151,-1.646162979,1.272014635
IN08-200909,USGS,Department of the Interior,United States Geological Survey,2009,IN08,0.295755342,0.72600747,-1.117573537,1.70977661
IN10-200909,NPS,Department of the Interior,National Park Service,2009,IN10,-0.606248111,0.730214068,-2.055438761,0.818587155
IN15-200909,USFWS,Department of the Interior,United States Fish and Wildlife Service,2009,IN15,0.194477435,0.726728741,-1.233439149,1.6232223
IN21-200909,DOIGC,Department of the Interior,Office of the Solicitor,2009,IN21,1.197573781,0.72644638,-0.223534103,2.639609515
IN22-200909,OSMR,Department of the Interior,Office of Surface Mining Reclamation and Enforcement,2009,IN22,0.050465847,0.734851683,-1.406053721,1.492936799
IN23-200909,MMS,Department of the Interior,"Bureau of Ocean Energy Management, Regulation, and Enforcement",2009,IN23,0.331085921,0.729306387,-1.126823465,1.758176022
KS00-200909,CNCS,Corporation for National and Community Service,,2009,KS00,-0.171787448,0.722388119,-1.584230361,1.247697301
LF00-200909,FEC,Federal Election Commission,,2009,LF00,0.571935504,0.734031857,-0.869862573,1.997601239
MC00-200909,FMC,Federal Maritime Commission,,2009,MC00,0.305532261,0.737044715,-1.133263047,1.737424531
MI00-200909,MCC,Millennium Challenge Corporation,,2009,MI00,0.553861152,0.727133527,-0.880921869,1.994391173
NF00-200909,NSF,National Science Foundation,,2009,NF00,0.963624535,0.729911529,-0.476410426,2.390813279
NL00-200909,NLRB,National Labor Relations Board,,2009,NL00,0.836322955,0.727353782,-0.607242709,2.264050749
NM00-200909,NMB,National Mediation Board,,2009,NM00,0.108489438,0.728980233,-1.31083955,1.531137201
NN-DEP-200909,NASA,National Aeronautics and Space Administration,,2009,NN-DEP,1.043922746,0.731242496,-0.373562897,2.47480679
NQ00-200909,NARA,National Archives and Records Administration,,2009,NQ00,-0.582865846,0.723873111,-1.995787377,0.846679289
NU00-200909,NRC,Nuclear Regulatory Commission,,2009,NU00,1.112704654,0.716139404,-0.298846928,2.50807334
NV-DEP-200909,NAVY,Department of Defense,Navy,2009,NV-DEP,-0.214393905,0.731929712,-1.655066225,1.228076382
OM00-200909,OPM,Office of Personnel Management,,2009,OM00,-0.455729198,0.731581452,-1.885552992,0.977969964
OS00-200909,OSHRC,Occupational Safety and Health Review Commission,,2009,OS00,0.451025383,0.73996854,-0.983804278,1.891624802
PU00-200909,PC,Peace Corps,,2009,PU00,-0.213929566,0.812606207,-1.807136195,1.379557834
QQ00-200909,ODNCP,Executive Office of the President,Office of National Drug Control Policy,2009,QQ00,0.416611714,0.724617028,-1.004207205,1.831174163
RF00-200909,FRTIB,Federal Retirement Thrift Investment Board,,2009,RF00,0.216290537,0.732892032,-1.235066151,1.643382763
RR00-200909,RRB,Railroad Retirement Board,,2009,RR00,-0.516324829,0.734987525,-1.952971436,0.925541221
RS00-200909,FMSHRC,Federal Mine Safety and Health Review Commission,,2009,RS00,0.516043001,0.737635257,-0.933772139,1.961666691
SB00-200909,SBA,Small Business Administration,,2009,SB00,-0.445152836,0.730251647,-1.884782523,0.979300968
SE00-200909,SEC,Securities and Exchange Commission,,2009,SE00,1.783798534,0.726030275,0.373079665,3.195570678
SK00-200909,CPSC,Consumer Product Safety Commission,,2009,SK00,0.486874054,0.732657968,-0.963402458,1.920164391
ST00-200909,STAT,Department of State,,2009,ST00,-0.112861599,0.724537491,-1.539227947,1.307856478
SZ00-200909,SSA,Social Security Administration,,2009,SZ00,-0.506766938,0.725588262,-1.945052964,0.908885324
TB00-200909,NTSB,National Transportation Safety Board,,2009,TB00,0.510869658,0.735193299,-0.943697572,1.950526027
TC00-200909,USITC,United States International Trade Commission,,2009,TC00,0.570965186,0.732354137,-0.858645433,2.003547733
TD-DEP-200909,DOT,Department of Transportation,,2009,TD-DEP,-0.285765158,0.741077409,-1.76718801,1.169565022
TD01-200909,DOTSEC,Department of Transportation,Office of the Secretary,2009,TD01,0.440951109,0.732397674,-0.991932673,1.867005707
TD03-200909,FAA,Department of Transportation,Federal Aviation Administration,2009,TD03,-0.348844935,0.727471603,-1.745193907,1.075418381
TD04-200909,FHWA,Department of Transportation,Federal Highway Administration,2009,TD04,0.390171515,0.728360505,-1.03555951,1.819111316
TD05-200909,FRA,Department of Transportation,Federal Railroad Administration,2009,TD05,-0.409055816,0.735427581,-1.855287719,1.023265052
TD06-200909,STLSDC,Department of Transportation,Saint Lawrence Seaway Development Corporation,2009,TD06,-0.526107897,0.7340593,-1.965132068,0.895100376
TD09-200909,FTA,Department of Transportation,Federal Transit Administration,2009,TD09,0.423858889,0.725083324,-0.989996946,1.835258972
TD10-200909,NHTSA,Department of Transportation,National Highway Traffic Safety Administration,2009,TD10,0.626072515,0.729960739,-0.799158602,2.059370117
TD11-200909,RITA,Department of Transportation,Research and Innovative Technologies Administration,2009,TD11,0.90138823,0.731388968,-0.535544692,2.315121648
TD13-200909,MA,Department of Transportation,Maritime Administration,2009,TD13,-0.471849404,0.731763698,-1.900359796,0.973523556
TD15-200909,STB,Surface Transportation Board,,2009,TD15,0.883553459,0.734725978,-0.565462867,2.336306009
TD16-200909,PHMSA,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,2009,TD16,0.539967674,0.72728354,-0.890917113,1.968533409
TD17-200909,FMCSA,Department of Transportation,Federal Motor Carrier Safety Administration,2009,TD17,-0.616023172,0.729109848,-2.057098665,0.807868075
TN00-200909,USTR,Executive Office of the President,Office of the United States Trade Representative,2009,TN00,0.544559398,0.72728416,-0.885437224,1.97394019
TR-DEP-200909,TRS,Department of the Treasury,,2009,TR-DEP,-0.764034594,0.734359224,-2.216542571,0.675684206
TR35-200909,OTS,Department of the Treasury,Office of Thrift Supervision,2009,TR35,0.452149368,0.725857055,-0.986284477,1.87292335
TR40-200909,ATTTB,Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,2009,TR40,-0.515600619,0.732945833,-1.94986321,0.906014658
TR91-200909,TRSMANG,Department of the Treasury,Departmental Offices,2009,TR91,0.300236996,0.729670398,-1.109698609,1.71278077
TR93-200909,IRS,Department of the Treasury,Internal Revenue Service,2009,TR93,-0.896368449,0.739335792,-2.330747487,0.548878949
TRAA-200909,FMS,Department of the Treasury,Financial Management Service,2009,TRAA,-0.340435174,0.725272775,-1.769460586,1.071496829
TRAB-200909,BPD,Department of the Treasury,Bureau of the Public Debt,2009,TRAB,-0.780062281,0.721617051,-2.194328939,0.666193322
TRAD-200909,MINT,Department of the Treasury,United States Mint,2009,TRAD,-0.610272743,0.730852293,-2.035628606,0.816727428
TRAF-200909,FINCEN,Department of the Treasury,Financial Crimes Enforcement Network,2009,TRAF,0.335529514,0.729599177,-1.071359506,1.770683894
TRAI-200909,BEP,Department of the Treasury,Bureau of Engraving and Printing,2009,TRAI,-0.296855068,0.730870185,-1.715055666,1.126026081
TRAJ-200909,OCC,Department of the Treasury,Office of the Comptroller of the Currency,2009,TRAJ,0.465254221,0.728589439,-0.957033238,1.895764862
VA-DEP-200909,DVA,Department of Veterans Affairs,,2009,VA-DEP,0.059283474,0.730697789,-1.361599937,1.48884051
VAAD-200909,BVA,Department of Veterans Affairs,Board of Veterans Appeals,2009,VAAD,0.794620085,0.731958123,-0.638145923,2.215987168
VALA-200909,VBA,Department of Veterans Affairs,Veterans Benefits Administration,2009,VALA,-0.776035128,0.729228462,-2.208226703,0.658115408
VAPA-200909,NCA,Department of Veterans Affairs,National Cemetery Administration,2009,VAPA,-0.688703714,0.726159744,-2.113823776,0.727168231
VATA-200909,VHA,Department of Veterans Affairs,Veterans Health Administration,2009,VATA,0.135972243,0.728540093,-1.273849876,1.553280625
AF-DEP-201009,USAF,Department of Defense,Air Force,2010,AF-DEP,-0.490665798,0.733179578,-1.934380004,0.955290085
AG-DEP-201009,USDA,Department of Agriculture,,2010,AG-DEP,-0.769786414,0.733940688,-2.201712845,0.670607993
AG01-201009,AGSEC,Department of Agriculture,Office of the Secretary,2010,AG01,-0.91746458,0.717177299,-2.298054162,0.481322877
AG02-201009,AMS,Department of Agriculture,Agricultural Marketing Service,2010,AG02,-0.523339631,0.73248519,-1.95275586,0.911098105
AG03-201009,ARS,Department of Agriculture,Agricultural Research Service,2010,AG03,-0.029809101,0.725408685,-1.447410748,1.393110279
AG07-201009,RHS,Department of Agriculture,Rural Housing Service,2010,AG07,-0.767206093,0.72091425,-2.161883614,0.661688829
AG08-201009,RMA,Department of Agriculture,Risk Management Agency,2010,AG08,-0.577193189,0.722836821,-2.005749656,0.815165091
AG10-201009,FAS,Department of Agriculture,Foreign Agricultural Service,2010,AG10,0.299607137,0.722590238,-1.118295336,1.704396121
AG11-201009,USFS,Department of Agriculture,Forest Service,2010,AG11,-1.09085768,0.726340823,-2.529289109,0.326757507
